Structure [idcode]	Name	Basic_pKa_greater5	Acidic_pKa_lower9	CNS-Kind	Molweight	cLogP	cLogS	cLogD (pH=7.4)	H-Acceptors	H-Donors	Total Surface Area	Molecular Flexibility	Molecular Complexity	Non-H Atoms	Binned Molweight	Smiles	
ffcqb@ARCqNPUfQQQJJFJUKSIbmV|FBAhjefhh@@	Iomazenil			CNS	411.194	1.3102	-5.105	1.3102	6	0	241.6	0.19915	0.9224	22	400 <= x < 425	CCOC(c(nc1)c(CN2C)n1-c1cccc(I)c1C2=O)=O	
ej^TFDLMchDLFna`@bHHpx[mirRRqQJKQQIIJQYiQQIJPsJZiYZBAb`eAZFjjh`@@	Isosulfan blue	4.91		non-CNS	543.683	-4.5258	-1.849	-14.436	8	0	395.05	0.46314	0.92373	37	525 <= x < 550	CCN(CC)c(cc1)ccc1C(c(cc(cc1)S([O-])(=O)=O)c1S([O-])(=O)=O)=C(C=C1)C=CC1=[N+](CC)CC	
eh\RM@@GHf`PLAEMOLnegoldTTRbRfLTLJTrbfRhdRJvNjjjjjjjjjjjh@@	Kanamycin	9.54		non-CNS	484.501	-7.4739	0.141	-9.8261	15	11	320.31	0.53088	0.92329	33	475 <= x < 500	NCC(C(C(C1O)O)O)OC1OC(C(CC(C1OC(C(C2N)O)OC(CO)C2O)N)N)C1O	
fewQb@AJeehHcHhdieHheEEhlgQa`~JN\@EUUTBr@TPyP@	Ketazolam			CNS	368.819	3.385	-4.008	3.385	5	0	260.94	0.26546	0.98481	26	350 <= x < 375	CC(OC(c1ccccc1)(c(cc(cc1)Cl)c1N1C)N2CC1=O)=CC2=O	
ebQRBD@GLm`QIDdPHcRHrJJIJQYKZIIFIKJIKJL\FVYESK_@pDEUUUK@AUULTP@@	Ketoconazole	6.42		non-CNS	531.438	3.3639	-2.995	3.2768	8	0	384.42	0.44618	0.86492	36	525 <= x < 550	CC(N(CC1)CCN1c(cc1)ccc1OCC1OC(Cn2cncc2)(c(ccc(Cl)c2)c2Cl)OC1)=O	
fleA`@@QSdTTTRRTqfdcZ\t@@AELDKT@@	Ketoprofen		3.88	CNS	254.284	2.7003	-4.062	-0.81722	3	1	199.63	0.57491	0.66621	19	250 <= x < 275	CC(C(O)=O)c1cccc(C(c2ccccc2)=O)c1	
flua`@F@bgHhhhdhed]IVTYwf`dJbiahNH@@	Ketorolac		3.84	CNS	255.272	2.3688	-2.618	-1.1961	4	1	190.59	0.38144	0.807	19	250 <= x < 275	OC(C1c2ccc(C(c3ccccc3)=O)n2CC1)=O	
dgmBPFE]NpBHBDiUf{jjjfX@@	L-cystine	9.34	1.56	non-CNS	240.303	-5.5478	-1.132	-11.391	6	4	166.24	0.87577	0.38376	14	225 <= x < 250	NC(CSSCC(C(O)=O)N)C(O)=O	
fasQ`@DV@sRS\soZsljJS^mA@UUU@@@@@	Labetalol	9.8	8.05	non-CNS	328.411	1.7795	-2.932	-0.62345	5	4	261.99	0.61579	0.72855	24	325 <= x < 350	CC(CCc1ccccc1)NCC(c(cc1)cc(C(N)=O)c1O)O	
fncAh@@XDkSoQsUnRJJIQISFJF[TdFMUUUUUUUP@@	Lactulose			non-CNS	342.296	-4.6102	0.682	-4.6108	11	8	218.99	0.50621	0.83229	23	325 <= x < 350	OCC(C(C1O)OC(C(C2O)O)OC(CO)C2O)OC1(CO)O	
eg`\BH@IDahFA@`@cIIdhhebddhdeeDdiiTt]\uTmUMP@UURT@EDEd@	Lafutidine	7.94	8.87	non-CNS	431.555	0.7516	-2.768	-0.086877	7	1	344.3	0.56317	0.69969	30	425 <= x < 450	O=C(CS(Cc1ccco1)=O)NC/C=C/COc1nccc(CN2CCCCC2)c1	
foAqb@NZ]ab`ABTsoLbakUUULmP@@	Lamivudine			non-CNS	229.259	-0.9483	-1.356	-0.9483	6	2	158.9	0.42245	0.73028	15	225 <= x < 250	NC(C=CN1C2OC(CO)SC2)=NC1=O	
f`qhA@IZM[pH`dQdTTTraTQxHshH`@H`@@	Lamotrigine	5.89		CNS	256.096	1.596	-4.359	1.5832	5	2	177.18	0.39411	0.77933	16	250 <= x < 275	Nc1nc(N)nnc1-c1cccc(Cl)c1Cl	
fi{p``BTeCH@alavPGHYIMDdhdeDdfeIpSdabtuP@DAUTA@E@@	Lansoprazole			non-CNS	369.366	2.7087	-3.399	2.7038	5	1	256.67	0.398	0.8003	25	350 <= x < 375	Cc(c(CS(c1nc(cccc2)c2[nH]1)=O)ncc1)c1OCC(F)(F)F	
eaSRBL@IGNhRCjVPHbjPIBLbbbRRrbbRTTrUVbRrRTc@dSVWTrswtDDU@@@P@TuURp@`@@	Lapatinib	7.26		non-CNS	581.066	4.7281	-8.061	4.5145	8	2	424.92	0.40441	0.89007	40	575 <= x < 600	CS(CCNCc1ccc(-c(cc23)ccc3ncnc2Nc(cc2)cc(Cl)c2OCc2cc(F)ccc2)o1)(=O)=O	
eb^VIH@LBFNMJk@hdbagolP@cIEDeEKDhihxeihhhd\qqYyyeBcSUSUTsUSTC@SP@@@	Latamoxef		2.81	non-CNS	520.478	-1.3645	-1.822	-5.8443	15	4	351.17	0.48302	0.97193	36	500 <= x < 525	Cn1nnnc1SCC(COC1C2(NC(C(C(O)=O)c(cc3)ccc3O)=O)OC)=C(C(O)=O)N1C2=O	
eo`PJ@@@DOLflbbRbJRTTTJrfRbRBbn^ZjjZjjjj`@`BBR@	Latanoprost			non-CNS	432.599	5.1735	-4.891	5.1735	5	3	356.42	0.64616	0.73114	31	425 <= x < 450	CC(C)OC(CCC/C=C/CC(C(CCC(CCc1ccccc1)O)C(C1)O)C1O)=O	
flePc@EILDD`bPqHYEHXdleMEDJPTuP@TsTd@@	Leflunomide			non-CNS	270.209	2.4636	-3.371	2.4632	4	1	192.4	0.50596	0.69969	19	250 <= x < 275	Cc(onc1)c1C(Nc1ccc(C(F)(F)F)cc1)=O	
ei[RBB@BEMEjfnfPICzPAdHYCHhhdiidheDeEDjdcHiTifAIEBeicj^XHDjjhJZBbj`BHhHIH@@	Letermovir	7.15	3.75	non-CNS	572.557	4.8615	-5.564	1.2134	8	1	405.38	0.3971	0.97193	41	550 <= x < 575	COc1cccc(N(CC2)CCN2C(N([C@@H](CC(O)=O)c2ccc3)c(cc(C(F)(F)F)cc4)c4OC)=Nc2c3F)c1	
ffch@@@RtFnQJIKJJJIIGIgOASg`@jhE@l`@@	Letrozole			non-CNS	285.309	2.4153	-6.97	2.4153	5	0	235.42	0.46715	0.77933	22	275 <= x < 300	N#Cc1ccc(C(c(cc2)ccc2C#N)n2ncnc2)cc1	
edR^N@@DJNAMOA`CNck`X\bbTTTQTjTRVTrbbJcGFeaUSUKUMT@DuSTu@@@	Leucovorin		3.32	non-CNS	473.445	-2.2121	-4.076	-6.4279	14	7	340.09	0.58449	0.86255	34	450 <= x < 475	NC(NC1=O)=NC(NCC2CNc(cc3)ccc3C(NC(CCC(O)=O)C(O)=O)=O)=C1N2C=O	
fjca@@@`rJIJYRIIIGJcIF\GtX@JjjjiJ`@@	Levallorphan	9.41		CNS	283.414	3.5759	-3.711	1.5646	2	1	219.44	0.33183	0.8878	21	275 <= x < 300	C=CCN(CC1)C(C2)C(CCCC3)C13c1c2ccc(O)c1	
fgAPB@LD@DISJJdhsakTuT@EDFD@@	Levamisole	6.98		non-CNS	204.296	1.692	-2.271	1.5534	2	0	150.8	0.34363	0.68976	14	200 <= x < 225	C(CS1)N(C2)C1=NC2c1ccccc1	
dcMD@DTIrJJIPqTsUUMTEP@	Levetiracetam			CNS	170.211	-0.3649	-0.974	-0.3649	4	1	134.12	0.5628	0.67959	12	150 <= x < 175	CCC(C(N)=O)N(CCC1)C1=O	
fnk@`@@YrJIJYJYJZIQFcIJlxJVfjjjjjnj@@	Levonorgestrel			non-CNS	312.451	3.538	-4.587	3.538	2	1	239.04	0.285	0.90219	23	300 <= x < 325	CCC(CC1)(C(CC2)C(CC3)C1C(CC1)C3=CC1=O)C2(C#C)O	
flma@@@`rJIJYRIIIFcIF\GtX@Jjjjbh@@	Levorphanol	9.66		CNS	257.376	2.9007	-3.202	0.64244	2	1	193.4	0.25483	0.87896	19	250 <= x < 275	CN(CC1)C(C2)C(CCCC3)C13c1c2ccc(O)c1	
fjmY@@DD]{IPILjoJzlmFFluSP@Tu|PhP@	Levosimendan		5.77	non-CNS	280.290	2.1411	-3.952	2.1397	7	2	228.31	0.37782	0.70075	21	275 <= x < 300	CC(C1)C(c(cc2)ccc2NN=C(C#N)C#N)=NNC1=O	
el^QD@@DLMCKGLhPALbbbbbQTRRRTRbRrRtXdL|RjNA^QZjfjA`hJlJbfB`nH@@	Linagliptin	9.86		non-CNS	472.551	2.0304	-5.747	-0.43467	10	1	362.66	0.34751	0.96478	35	450 <= x < 475	Cc1nc(CN(C(c(n2CC#CC)c(N3C)nc2N(CCC2)CC2N)=O)C3=O)nc2ccccc12	
fmgPr@CYpqVoQ@DYHieELeBhiXhbepU^uUUUUSUUUP@@	Lincomycin	7.97		non-CNS	406.542	-0.2903	-1.558	-0.96392	8	5	295.48	0.57752	0.87495	27	400 <= x < 425	CCCC(C1)CN(C)C1C(NC(C(C)O)C(C(C(C1O)O)O)OC1SC)=O	
dcL@X@bBbFbAbEbMbDfYnijjjj@@	Lindane			non-CNS	290.832	3.762	-4.112	3.762	0	0	167.52	0.38657	0.6452	12	275 <= x < 300	ClC(C(C(C(C1Cl)Cl)Cl)Cl)C1Cl	
flyq@@DTbAIefwYUPiZjjhHH@@@	Lisdexamfetamine	10.21		CNS	263.384	0.9356	-2.59	-1.8779	4	3	225.57	0.631	0.56169	19	250 <= x < 275	CC(Cc1ccccc1)NC(C(CCCCN)N)=O	
eghTHH@EOA@HcHhdlieEdhhhheDcPqtlL]m]@AMUUP@PPA@@@@	Lofepramine	6.53		CNS	418.966	5.4568	-6.269	5.4018	3	0	327.87	0.51062	0.78589	30	400 <= x < 425	CN(CCCN(c1c(CC2)cccc1)c1c2cccc1)CC(c(cc1)ccc1Cl)=O	
fi{qa@BLKghpRBiCHhhhhhhdbdigNZ]DIXHbhjifibh^H@@	Lomefloxacin	8.7	5.45	non-CNS	351.352	-1.2243	-3.548	-2.9886	6	2	249.64	0.33163	0.92127	25	350 <= x < 375	CCN(C=C1C(O)=O)c(c(F)c(c(F)c2)N3CC(C)NCC3)c2C1=O	
egXrJ@@DLMI`EJgd\bbbTVbaLRTTRtVVbfRRttTSD`vqKNmkUUSUUPTEELDD@QD@PPgHdfh@@	Lopinavir			non-CNS	628.811	4.847	-6.131	4.847	9	4	501.42	0.53474	0.84284	46	625 <= x < 650	CC(C)[C@@H](C(N[C@H](C[C@@H]([C@H](Cc1ccccc1)NC(COc1c(C)cccc1C)=O)O)Cc1ccccc1)=O)N(CCCN1)C1=O	
ehZVLHDNGHbeofna`H`jQnrJJIQYSJIIIKQUQIYbRqpKIJi{zBAbB`XiYjjbJ@`FP	Loprazolam	7.66		CNS	464.912	0.2829	-4.94	-0.46307	9	0	331.97	0.26711	0.95951	33	450 <= x < 475	CN(CC1)CCN1/C=C(/C1=O)\N=C2N1c(ccc([N+]([O-])=O)c1)c1C(c(cccc1)c1Cl)=NC2	
fakpR@BVcIVo@bLbbbTTtZTttRSABLwluULuMP@T@@@	Loracarbef	7.23	2.93	non-CNS	349.773	-2.431	-2.423	-6.7048	7	3	239.5	0.42992	0.87211	24	325 <= x < 350	NC(C(NC(C(CC1)N2C(C(O)=O)=C1Cl)C2=O)=O)c1ccccc1	
ffcPa@N^ldDQVHRYeg[f]Udg^bVBAbBhFHbBb@@	Lormetazepam			CNS	335.189	3.2401	-5.222	3.2399	4	1	232.49	0.25054	0.88404	22	325 <= x < 350	CN(c(ccc(Cl)c1)c1C(c(cccc1)c1Cl)=NC1O)C1=O	
eghVHH@DJIecki@HaIeeUvU}fV]HhbRFvNniZjjB@``XjA@@@	Losartan		5.85	non-CNS	422.919	3.9536	-4.986	0.84213	7	2	329.18	0.51153	0.86255	30	400 <= x < 425	CCCCc1nc(Cl)c(CO)n1Cc(cc1)ccc1-c(cccc1)c1-c1nnn[nH]1	
fnkqB@ARJhDPdrmrljjSfgQKfl@PuUEADD@@@	Loxapine	7.18		CNS	327.814	3.5564	-3.993	3.3534	4	0	242.31	0.24046	0.84556	23	325 <= x < 350	CN(CC1)CCN1C1=Nc(cccc2)c2Oc(cc2)c1cc2Cl	
fmgAQ@JLSMXIAD`dutnmkkjkJMxMUUUUUMUST@@	Lubiprostone		4.3	non-CNS	390.465	4.5278	-4.651	1.4319	5	2	293.1	0.55514	0.83603	27	375 <= x < 400	CCCCC(C(CC1)(O)OC(C2)C1C(CCCCCCC(O)=O)C2=O)(F)F	
fakQB@GYl@HrQQQQQIJDeJITyKq`t@PPLEUU@@@	Lucanthone	8.69		non-CNS	340.490	4.2624	-4.843	2.9469	3	1	268.34	0.43663	0.86118	24	325 <= x < 350	CCN(CC)CCNc1ccc(C)c(Sc2c3cccc2)c1C3=O	
emWRE@@Ekh^PAC@djmciU\bbbbbbbvfd|VbRbaJRRTtxtT|\JzFZAhJhjiijZjjjfb`@@	Lymecycline	9.77	2.51	non-CNS	602.639	-6.2313	-2.591	-13.229	14	9	419.6	0.49988	1.0737	43	600 <= x < 625	CC(C(CC(C(C(O)=C(C(NCNCCCCC(C(O)=O)N)=O)C1=O)N(C)C)C11O)C2=C1O)(c1cccc(O)c1C2=O)O	
figI@@DXutFQQQIJEJIZIIJFmGMQmzuUUUUA@qQ@@@	Lysuride	7.51		CNS	340.469	2.8201	-3.24	2.4605	5	2	263.32	0.41198	0.92768	25	325 <= x < 350	CCN(CC)C(NC(C1)CN(C)C(Cc2c[nH]3)C1c1c2c3ccc1)=O	
ehXRA@@EMLb`DBCHjnilbfbRbRbRTTTKTrRRxDZfjjfjijZjj@@@	Laninamivir octanoate	11.54	13.68	non-CNS	472.537	-0.8395	-3.14	-5.4838	12	5	367.73	0.66293	0.88922	33	450 <= x < 475	CCCCCCCC(OCC(C(C(C1NC(C)=O)OC(C(O)=O)=CC1N=C(N)N)OC)O)=O	
e`\\NH@FELmCK@jeg`@cIEHhbeDmhmEMDhdc`qqILm]}UUULtuTaTBU@@@	Lenampicillin hydrochloride	7.23	11.72	non-CNS	461.494	0.7427	-3.245	0.42209	10	2	315.4	0.38444	0.92418	32	450 <= x < 475	CC(C)(C1C(OCC(O2)=C(C)OC2=O)=O)SC(C2NC(C(c3ccccc3)N)=O)N1C2=O	
f`aI@@DXEHBSJsLvf|uPLQP@@@	Lidamidine hydrochloride	7.84	10.84	non-CNS	220.275	1.1668	-2.466	1.1549	5	4	182.48	0.55925	0.58727	16	200 <= x < 225	Cc1cccc(C)c1NC(NC(NC)=N)=O	
f`qQA@CVHBHEDYEEDeMCLfR]zBBbfhh\h@@	Lofexidine	9.27		CNS	259.135	2.202	-3.453	1.747	3	1	187.31	0.46421	0.68629	16	250 <= x < 275	CC(C1=NCCN1)Oc(c(Cl)ccc1)c1Cl	
fli@s@LDUiw`ADOA@QdTbRTLVTVsUUSTuTJT@@	Malathion			non-CNS	330.361	2.0313	-2.531	2.0313	6	0	248.04	0.7407	0.65353	19	325 <= x < 350	CCOC(CC(C(OCC)=O)SP(OC)(OC)=S)=O	
fjc`@@@YHleHhheDeckuoArdmUU@DP@T@@@	Maprotiline	10.54		CNS	277.410	3.7029	-3.566	0.55978	1	1	221.45	0.35205	0.87401	21	275 <= x < 300	CNCCCC(CCC12)(c3c2cccc3)c2c1cccc2	
ejYZHD@ELcohY@IABPrJSIYSJJIIKSQQUQQSQcaHhYZ[[zFjjfjBBJjjifjJ`@@	Maraviroc	9.35		non-CNS	513.675	4.7438	-3.488	2.4659	6	1	391.24	0.46715	0.84897	37	500 <= x < 525	CC(C)c1nnc(C)n1C1CC(CC2)N(CCC(c3ccccc3)NC(C(CC3)CCC3(F)F)=O)C2C1	
fnmqP@DTrCWdmrJISJQQqQZJYjjjZjfj@@	Marimastat		8.61	non-CNS	331.411	-0.2222	-1.954	-0.24812	8	5	261.56	0.66975	0.7177	23	325 <= x < 350	CC(C)CC(C(C(NO)=O)O)C(NC(C(C)(C)C)C(NC)=O)=O	
fb}QB@I^DBHrJIKJSQQIHtYjw`is@AUTC@EDNT@@	Mazindol			CNS	284.745	3.4206	-3.406	3.4205	3	1	198.99	0.25766	0.93423	20	275 <= x < 300	OC(c1c2cccc1)(c(cc1)ccc1Cl)N1C2=NCC1	
ffcq`@LLxAGdfWeUWnUEHubuZfj@I`@@A@b@	Mebendazole		8.44	non-CNS	295.297	2.0676	-5.311	2.0676	6	2	223.17	0.38145	0.78295	22	275 <= x < 300	COC(/N=C1\Nc(cc(cc2)C(c3ccccc3)=O)c2N1)=O	
dcn@@@Rfnfve]jjjj`@	Mecamylamine	10.88		non-CNS	167.295	1.9558	-2.325	-1.5203	1	1	134.1	0.24633	0.73034	12	150 <= x < 175	CC(C)(C1CC2CC1)C2(C)NC	
daz@PLBHzHRUgjj`@	Mechlorethamine	6.08		non-CNS	156.055	1.1356	-1.209	1.1155	1	0	121.94	0.7878	0.59725	8	150 <= x < 175	CN(CCCl)CCCl	
fcPB@AIADILklsJk~rmQgdqsM\@EUAPQP@QACa@@	Meclizine	7.71		CNS	390.956	5.4447	-4.362	4.6145	2	0	308.86	0.38556	0.76455	28	375 <= x < 400	Cc1cccc(CN(CC2)CCN2C(c2ccccc2)c(cc2)ccc2Cl)c1	
fluPB@AJADYEDeMDeELcSfgQS@DMPT@P@@	Medazepam	6.9		CNS	270.762	3.5508	-4.69	1.3798	2	0	207.99	0.29481	0.8024	19	250 <= x < 275	CN1c(ccc(Cl)c2)c2C(c2ccccc2)=NCC1	
fc@P@@UFoHhdihhiTiheBhiQbc^BdkSUUUUUULuT@@	Medroxyprogesterone			non-CNS	386.530	3.9495	-4.662	3.9495	4	0	286.31	0.3326	0.96627	28	375 <= x < 400	CC(CC(C(CC1)C(C)(CC2)C1(C(C)=O)OC(C)=O)C2C1(C)CC2)C1=CC2=O	
fmo@P@@E{OHhdieDleMDhUEJ\eiwhyZZfjjjjfZj@@	Megestrol			non-CNS	370.487	3.4048	-4.274	3.4048	4	0	274.29	0.31435	0.96157	27	350 <= x < 375	CC(CCC1C2(C)CC3)(C(CC4)C1C=CC2=CC3=O)C4(C(C)=O)OC(C)=O	
fleaB@CBAHILkmjroQ`Xp@SUUUD@@	Melperone	8.9		CNS	263.355	3.2362	-3.393	1.7245	2	0	215.24	0.52036	0.59413	19	250 <= x < 275	CC1CCN(CCCC(c(cc2)ccc2F)=O)CC1	
dk\D@@wHhhhhbfESZAhD`@@	Menadione			non-CNS	172.183	1.8796	-2.966	1.8796	2	0	132.23	0.011544	0.73452	13	150 <= x < 175	CC(C(c1c2cccc1)=O)=CC2=O	
dmtH@@RYeeZZjjj@@	Menthol			non-CNS	156.268	2.4112	-2.501	2.4112	1	1	134.41	0.50837	0.61821	11	150 <= x < 175	CC(C)C(CCC(C)C1)C1O	
fdy``@O@Pdrtlnof|xKUUAPQP@@	Meperidine	8.16		CNS	247.337	2.0717	-2.188	1.2424	3	0	201.54	0.49653	0.68629	18	225 <= x < 250	CCOC(C1(CCN(C)CC1)c1ccccc1)=O	
f`qP`@DXAqIfWnUrL]yjihHBHLH@@	Mephenytoin			CNS	218.255	1.5004	-2.174	1.5003	4	1	165.71	0.41666	0.78589	16	200 <= x < 225	CCC(C(N1C)=O)(c2ccccc2)NC1=O	
do]B@L\Dftf]i]Yjjji`@	Meprobamate			CNS	218.252	0.9953	-2.463	0.9953	6	2	176.01	0.70589	0.53731	15	200 <= x < 225	CCCC(C)(COC(N)=O)COC(N)=O	
fhia@@M@rJIJFQIJJcGA`@jjjbar`@	Meptazinol	9.16		CNS	233.354	2.9645	-2.529	1.1991	2	1	193.9	0.46953	0.75107	17	225 <= x < 250	CCC1(CN(C)CCCC1)c1cccc(O)c1	
det``Dki@HRYYUnFVfZi@@	Mercaptopurine			non-CNS	152.181	-0.6589	-1.843	-0.66235	4	2	117.02	0.18132	0.80147	10	150 <= x < 175	S=C1N=CNc2c1[nH]cn2	
fewQA@AE`@HLDIUvmrsj}r|dZt\cft@QTDDUUDP@@	Mesoridazine	8.8		CNS	386.582	4.5579	-4.69	3.7015	3	0	286.41	0.40038	0.87115	26	375 <= x < 400	CN1C(CCN2c(cc(cc3)S(C)=O)c3Sc3c2cccc3)CCCC1	
fnk@`@@ErQSISISISQJUgEZ]zNZ@Bjjjjlj@@	Mestranol			non-CNS	310.435	4.0712	-4.767	4.0712	2	1	238.32	0.23462	0.8945	23	300 <= x < 325	CC(CC1)(C(CC2)C(CC3)C1c(cc1)c3cc1OC)C2(C#C)O	
f`qa`@L@QqIe]YVRTMYjj`@jHDh@@	Metaxalone			CNS	221.255	1.6252	-2.928	1.6252	4	1	173.51	0.46721	0.58006	16	200 <= x < 225	Cc1cc(OCC(CN2)OC2=O)cc(C)c1	
dmVDBNANeIggijjj`j@@	Methacholine			non-CNS	160.236	-2.7499	-0.123	-2.7499	3	0	134.69	0.47884	0.47958	11	150 <= x < 175	CC(C[N+](C)(C)C)OC(C)=O	
e`\TA@@Ek`ACHbjmclbbbbbbbrLblQbRbgBfgcfWPsPMDUCUMMSUE@@@	Methacycline	5.36	7.23	non-CNS	442.423	-1.8578	-1.595	-8.9806	10	6	290.1	0.31289	1.0775	32	425 <= x < 450	CN(C)C(C(C(C(C(c1cccc(O)c1C1=O)=C)C1=C1O)O)C11O)C(O)=C(C(N)=O)C1=O	
fnca@@H`RYiYgUY~]dIVjh@`B`hHFH@@	Methadone	9.12		CNS	309.451	3.5199	-2.852	1.7944	2	0	260.54	0.56502	0.73452	23	300 <= x < 325	CCC(C(CC(C)N(C)C)(c1ccccc1)c1ccccc1)=O	
dmv@@@Rf~UeZj@@bJ@@	Methamphetamine	10.21		CNS	149.236	1.8054	-1.982	-1.0052	1	1	135.5	0.63504	0.55452	11	125 <= x < 150	CC(Cc1ccccc1)NC	
fi{a`DC@QXtiLllrrkWzjwjqZuU@E@EPU@@@	Methantheline			non-CNS	340.441	0.2449	-3.84	0.2449	4	0	267.47	0.46841	0.77811	25	325 <= x < 350	CC[N+](C)(CC)CCOC(C1c(cccc2)c2Oc2c1cccc2)=O	
dg\lPLXYaC@HhHrRRqIIZ\JuMMMA@h	Methazolamide		7.21	non-CNS	236.276	0.1901	-2.669	0.18266	7	1	153.1	0.41011	0.70798	14	225 <= x < 250	CC(/N=C1\SC(S(N)(=O)=O)=NN1C)=O	
fjcPB@NI@DYHhhhddmcDeSdkZ\gM@D@PUUPTOT@@	Methdilazine	8.81		CNS	296.437	4.2005	-4.341	2.7756	2	0	223.91	0.29244	0.8218	21	275 <= x < 300	CN1CC(CN2c(cccc3)c3Sc3c2cccc3)CC1	
gOtHE`DILrVuT`@	Methimazole			non-CNS	114.172	-0.1957	-1.174	-0.19612	2	1	93.23	0	0.69315	7	100 <= x < 125	CN(C=CN1)C1=S	
fhqaP@L@PpQdf]mYeWAZjjBBBEJ@@	Methocarbamol			CNS	241.242	0.2939	-1.989	0.2939	6	2	188.16	0.47325	0.58727	17	225 <= x < 250	COc(cccc1)c1OCC(COC(N)=O)O	
eh\QJ@@D@fickg`PMCHdlbbTTRTRjTTNbRfTQT\fVn~Z`hFbfj@@BHB@b`@	Methotrexate		3.25	non-CNS	454.446	-1.2285	-3.767	-5.2188	13	5	333.45	0.59346	0.82714	33	450 <= x < 475	CN(Cc1nc2c(N)nc(N)nc2nc1)c(cc1)ccc1C(NC(CCC(O)=O)C(O)=O)=O	
fnsQB@NEB@HrQQQQII[KQHrgIVtz`B@HJjj`az`@	Methotrimeprazine	9.42		CNS	328.479	4.1492	-4.243	2.1237	3	0	256.67	0.40556	0.83186	23	325 <= x < 350	CC(CN(C)C)CN1c(cc(cc2)OC)c2Sc2c1cccc2	
do~L@CB]RfyV~^F`HJj`@@	Methoxamine	9.28		non-CNS	211.260	0.2438	-1.554	-1.6399	4	2	169.91	0.48062	0.71194	15	200 <= x < 225	CC(C(c(cc(cc1)OC)c1OC)O)N	
f`i@P@@HD[HhdihdhUSbkN|uHPTUB@@	Methoxsalen			non-CNS	216.192	1.879	-3.547	1.879	4	0	160.56	0.1459	0.8512	16	200 <= x < 225	COc(c(occ1)c1cc1C=C2)c1OC2=O	
daxHHFBHRHJPjPrJZPuUP@@	Methoxyflurane			non-CNS	164.966	1.8198	-1.968	1.8198	1	0	102.21	0.79827	0.7993	8	150 <= x < 175	COC(C(Cl)Cl)(F)F	
foA``@D@edTTTbtjQNV\uUR@DPpP@	Methsuximide			CNS	203.240	1.0394	-1.979	1.0394	3	0	154.25	0.38646	0.73783	15	200 <= x < 225	CC(CC(N1C)=O)(C1=O)c1ccccc1	
fbupP`IZCpSo@bBAA`cLQdTTRdRjTbJXjpXHEbiZhhVH@@	Methyclothiazide			non-CNS	360.241	0.625	-2.318	0.61946	7	2	216.56	0.35039	0.87401	20	350 <= x < 375	CN(C(CCl)Nc(c1c2)cc(Cl)c2S(N)(=O)=O)S1(=O)=O	
defL@IANRY]mjih@@	Methyl aminolevulinate	7.83		non-CNS	145.157	-0.8855	-0.618	-1.4557	4	1	121.06	0.729	0.57565	10	125 <= x < 150	COC(CCC(CN)=O)=O	
fdyQ`@DXArRSLm}rnpPXmULtDADAT@@	Methylphenobarbital		7.4	CNS	246.265	0.8838	-2.44	0.84232	5	1	183.46	0.42518	0.8085	18	225 <= x < 250	CCC(c1ccccc1)(C(NC(N1C)=O)=O)C1=O	
fewp`@DJZCVQQJJIIJHqZKQYSdekuhvjjZj`bHZb@@	Methysergide	7.83		CNS	353.464	1.4619	-2.175	0.87678	5	2	269.95	0.28912	0.94743	26	350 <= x < 375	CCC(CO)NC(C(CN(C)C1Cc2cn3C)C=C1c1c2c3ccc1)=O	
fegPr@FJtZwlu@DYHiEDTheYhhhdlLyIhzjjifXHbJ`@@	Meticillin		2.96	non-CNS	380.420	1.3994	-2.108	-3.0363	8	2	262.06	0.39909	0.90475	26	375 <= x < 400	CC(C)(C1C(O)=O)SC(C2NC(c(c(OC)ccc3)c3OC)=O)N1C2=O	
ffs`B@D`BLdTTTRRVNbReARMivRt@D@QUUPTOT@@	Metixene	9.34		CNS	309.476	4.6551	-4.177	2.7095	1	0	239.87	0.30384	0.82844	22	300 <= x < 325	CN1CC(CC2c(cccc3)c3Sc3c2cccc3)CCC1	
e`vtF@DBm`NEN]WRivgIEEEDhdddlhTheKEHhdcDkBmHxYDUubsRkrkJ[PAAAEEUUUAT@TAEPTP@@@	Metocurine			non-CNS	652.829	0.2996	-6.804	0.2996	8	0	489.44	0.27861	1.0024	48	650 <= x < 675	C[N+](C)(CCc1c2)C(Cc(cc3)ccc3Oc3c(C(Cc(cc4)cc(O5)c4OC)[N+](C)(C)CC4)c4cc(OC)c3OC)c1cc5c2OC	
fakqa@IZ}pS`QA@cHhheHeThmhhdqUoM{A@lUMPDADKD@@	Metolazone			non-CNS	365.840	2.4448	-4.61	2.4416	6	2	248.57	0.32219	0.90011	24	350 <= x < 375	CC(Nc(c1c2)cc(Cl)c2S(N)(=O)=O)N(c2c(C)cccc2)C1=O	
e`X\AL@BFBgHlaieko`JqRllkLbbbbbbRaTljbbbJwFfqtDQTTtsUUUTP@@	Metrizamide			non-CNS	789.086	-0.1985	-4.901	-0.19854	11	6	373.51	0.54326	0.91265	32	775 <= x < 800	CC(Nc(c(I)c(c(I)c1C(NC(C2O)C(O)OC(CO)C2O)=O)N(C)C(C)=O)c1I)=O	
fhiQ@@INAdTTTbRarrk^BtEP@@@@@	Metyrapone			non-CNS	226.278	1.7933	-2.502	1.792	3	0	183.22	0.58439	0.69315	17	225 <= x < 250	CC(C)(C(c1cnccc1)=O)c1cnccc1	
