Structure [idcode]	m	Value	Unit	Type	Ligand Efficiency	Binding Efficiency	Surface Efficiency	Assay Category	Assay Organism	Target Name	Target Organism	Target Description	Sequence Accession	Reference	Pubmed ID	DOI	pValue	Ring Systems [idcode]	Ring Systems 3 [idcode]	Murcko Frequency	Row-ID	Neighbor Similarity SkelSpheres 88%	Neighbor Count	Neighbor	Neighbor Analysis X	Neighbor Analysis Y	SALI pValue/SkelSpheres	Smiles	
ek`VHH@BENaiei@ICHhhdmEmDeeEDhiVA@hnmaehHHZ`@``ZHB@@@ !Bmww~os_|RGtw_[]}R@Hw@oz@RGtw__zMwvH_z@[}H__xbGtw_V@Z@W~_zqgFnC`yS]}Fn|	=	0.398	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				9.400116925845026	figi@@DXjtXDfUfUW~YYtzwj}ZMj`@@B@bDB@@	fa{@@@LdbbbRTVZRTRPmJ\Zs^uUUUUUUUU@@@	6.0	411	0.90617; 0.9218; 0.9339; 0.97176; 0.9339	5	527; 449; 440; 430; 115	0.26916143	0.7662959	4.2763; 1.2782; 12.1; 28.319; 15.161	Cc(cc1)cc(NC(Nc(cc2)ccc2-c2c3c(N)nn(C)c3cnc2)=O)c1F	
e`\RDL@KLkgbO@IABPpdLbdJbRaTrTRRtRTrdbaURvusuU@AUT@D@ELA@@@ !BbOtBbOvwbOvHHc}`BHHc|`BHXc|`BHXc|bOw~_xc|bOvHXc|bOrH_x@bOrHOx@XFU`FbpXFa|	=	1000	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				5.999999999999999	figq@@F]FAJYUUyeUo^RbWK^chHHh@@BI@`@@	fig@@@LdbbRRfaRQRbRxjQoAzNjjjjjjjjj@@	6.0	415	0.8886; 0.86865; 0.89867	3	510; 506; 475	0.33648446	-0.053120777	1.7953; 7.6134; 7.8947	Cc1n[nH]c(cc2)c1cc2-c1cc(OCC(Cc2cccc(OC(F)(F)F)c2)N)cnc1	
fcI@@FFflBTrkJo\jm{\UemQsWPPTU@@@QLA@@@ !BbGw~@Oyb@Jw@hc}bGvw__x@bOrH@oympJH__x@`Bw_X`Bb@Jw@k\B`A`Y[]}XAhlFAh_	=	1995.3	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				5.699991786818318	figq@@F]FAJYUUyeUo^RbWK^chHHh@@BI@`@@	fig@@@LdbbRRfaRQRbRxjQoAzNjjjjjjjjj@@	6.0	423	0.9399; 0.86564; 0.9399	3	510; 475; 279	0.21978317	0.027582224	8.3199; 8.1867; 10.55	Cc1n[nH]c(cc2)c1cc2-c1cc(OCC(Cc2ccccc2)CN)cnc1	
fcY@@DX[t\pYEDeEDdeMUEDhi]NlEj~sZh@@BHHFb@`@@ !Bk|w_Ta}MpK~oz@Mwtw_Xc}Mpw@oz@[~w_Wz@RGw~Oxa}Mwu`F`Eg~lYqk`xNTw_Yko	=	2.51	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				8.600326280169062	figi@@DXjtXDfUfUW~YYtzwj}ZMj`@@B@bDB@@	fa{@@@LdbbbRTVZRTRPmJ\Zs^uUUUUUUUU@@@	6.0	440	0.97773; 0.91804; 0.97037; 1; 0.9339	5	527; 481; 92; 115; 411	0.2034625	0.7892612	53.921; 9.7581; 16.988; 0; 12.1	Cc1cccc(NC(Nc(cc2)ccc2-c2c3c(N)nn(C)c3cnc2)=O)c1	
fcYB@BJzNZy@dDfYWgyWYefXHL^{FnBBFh@HHF`B@@ !Bmww~os_|RGtw_[]}R@Hw@oz@RGtw__zMwvH_z@[}H__xbGtw_V@Z@W~_zqgFnC`yS]}	=	0.501	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				9.30016228529317	figi@@DXjtXDfUfUW~YYtzwj}ZMj`@@B@bDB@@	fa{@@@LdbbbRTVZRTRPmJ\Zs^uUUUUUUUU@@@	6.0	449	0.93069; 0.9678; 0.93686; 0.93686; 0.9678; 0.9678; 0.9218	7	481; 79; 142; 144; 185; 354; 411	0.17363429	0.68488854	1.4422; 46.932; 55.058; 26.016; 32.871; 52.808; 1.2782	Cc(cc1)cc(NC(Nc(cc2)ccc2-c2c3c(N)n[nH]c3cnc2)=O)c1F	
fhyHB@DLlxDQdTRTQbbRuNZmxL@QRD@P@@ !BUKo@ifT_UKmTn|BfYQ}eGq}eKF_~_{\BTv^w_[]}mpH	=	199.53	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				6.699991800103153	foQp@@@X]dbbRatRUALyYpPTP@B@@@	foQ@@@LdbbRbVQyhRkNjjjjjh@@	6.0	469	0.87354	1	392	-0.6793979	0.70948696	7.908	Nc1cc(-c2c[nH]c3c2cccn3)cc(Cl)n1	
fcIB@I^foPHcHhdhULeDdmDeLiQ`Xm{M\@EUP@P@TpD@@ !Bg~H_[]}g~_{]}bGvHOx@bGvHHa}g~HHc}bGvHHc|bGw~@Hc|bOs~@FAeXAhlFAh_	=	158.49	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				6.799998119541023	figq@@F]FAJYUUyeUo^RbWK^chHHh@@BI@`@@	fig@@@LdbbRRfaRQRbRxjQoAzNjjjjjjjjj@@	6.0	475	0.93686; 0.9339; 0.88831; 0.89867; 0.86564	5	510; 506; 279; 415; 423	0.27749482	-0.009971533	9.5029; 3.0257; 4.1721; 7.8947; 8.1867	Cc1n[nH]c(cc2)c1cc2-c1cc(OCC(Cc2cccc(Cl)c2)N)cnc1	
fmoY@@DX[t\pYEDeEDdeMUEDhiiu`mWv[U@@@QA@t@P@@ !Bk|w_Ta}MpK~oz@Mwtw_Xc}Mpw@oz@[~w_Wz@RGw~Oxa}Mwu`F`Eg~lYqk`xNTw_P	=	0.398	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				9.400116925845026	figi@@DXjtXDfUfUW~YYtzwj}ZMj`@@B@bDB@@	fa{@@@LdbbbRTVZRTRPmJ\Zs^uUUUUUUUU@@@	6.0	481	0.96617; 0.93686; 0.93996; 0.93686; 0.93686; 0.91804; 0.93373; 0.93686; 0.91804; 0.93069; 0.96617	11	74; 80; 82; 83; 88; 115; 136; 401; 440; 449; 471	0.069545485	0.8159192	43.722; 28.748; 40.396; 13.894; 28.478; 12.227; 23.334; 6.3547; 9.7581; 1.4422; 26.594	Cc1cccc(NC(Nc(cc2)ccc2-c2c3c(N)n[nH]c3cnc2)=O)c1	
ek`RHD@E@emc@H`bHRYg]mYUyVvXxbRzFVv``Jj`@`@i`H@@ !Bg~w_Xa}ms~_ybGvH_Xc|`BH_Xc|bGw~_xc|bOvH_Xc|bOrH__x@bOrHOx@XFU`FbpXFa|	=	100	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				7.0	figq@@F]FAJYUUyeUo^RbWK^chHHh@@BI@`@@	fig@@@LdbbRRfaRQRbRxjQoAzNjjjjjjjjj@@	6.0	506	0.90236; 0.86865; 0.9339	3	510; 415; 475	0.3420694	0.024285419	8.1937; 7.6134; 3.0257	Cc1n[nH]c(cc2)c1cc2-c1cc(OCC(Cc(cc2)cc(Cl)c2Cl)N)cnc1	
fmoI@@FBGLBTrkK|rjwmqRZezN]AAQP@@DS@P@@ !BbGw~@Oyb@Jw@hc}bGvw__x@bOrH@k\BbGw~@Ox@mwvH@h`BmpJw@ox@XFVw_V@ZKA`ZGp	=	630.96	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				6.199998157058087	figq@@F]FAJYUUyeUo^RbWK^chHHh@@BI@`@@	fig@@@LdbbRRfaRQRbRxjQoAzNjjjjjjjjj@@	6.0	510	0.96343; 0.8886; 0.9399; 0.93686; 0.90236	5	279; 415; 423; 475; 506	0.28621385	0.067306936	3.6643; 1.7953; 8.3199; 9.5029; 8.1937	Cc1n[nH]c(cc2)c1cc2-c1cc(OCC(Cc2ccccc2)N)cnc1	
fcYB@FJ[t\y@bLbbRftrbRrbbTTmN^Bu_YpADt@DDCQ@P@@ !B@[}H[]}k~ota}MwuH@oz@RGw~os]}bOw~opFRGw~Oxa}Mwu`F`Eg~lYqk`xNTw_Yko	=	0.158	nM	Ki				other		Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888				9.801342893057678	figi@@DXjtXDfUfUW~YYtzwj}ZMj`@@B@bDB@@	fa{@@@LdbbbRTVZRTRPmJ\Zs^uUUUUUUUU@@@	6.0	527	0.93385; 0.97773; 0.90617; 0.97773	4	92; 115; 411; 440	0.32479534	0.7940335	25.765; 63.007; 4.2763; 53.921	Cn(c1cncc(-c(cc2)ccc2NC(Nc2cccc(Cl)c2)=O)c11)nc1N	
edZVL@@LG@dm`PDBdfU^UvWVyWYWtLBbfV~AZj`@fff@BjjH`@@ !B`BH@k\B`Bw_[\BmpK~@K]}MpJw@k]}mpHq`L}Mwr[KaK|qs\~lY{|qs\|SfK|qo}FSFK|qs\|SfC|qosFSfK|q	=	17	nM	IC50	0.31	16.80	7.57		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 22 (14), 4654-4659 (2012)	22726931		7.769551078621725	fewi@@D\uzXLbbTTRRQRbbRRrkZMT_YmPREEAPTPd@@	fig@@@DjYU_ue^UxjVhizNjjjjjjjjj@@	6.0	540	0.92148	1	612	-0.4270612	-0.061284505	9.4581	CCOC(NCc(cc1)ccc1-c1n[nH]c(NC(c(cc2)ccc2N2CCN(C)CC2)=O)c1)=O	
fj}AP@@\dZNQQQJJKPqIHldjvRm@qE@TA@@@ !BhAH@k\BRGw~@Ox@k}H@c_|RHHw`da}h@w__y@R@IH@c\BMpK~`@	=	1480	nM	IC50	0.38	20.51	7.67		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 23 (6), 1768-1770 (2013)	23411073		5.8297382846050425	fhy@`@@\RYee~uYrVoAZA``@H@@@	f`i@@@DjYU[wxjQg^jjjjjj@@	6.0	593		0		0.90463763	-0.18971588		COc(c(O)c(c(OC(c1ccccc1)=C1)c2)C1=O)c2O	
fns@H@@DEiNZmrJJJZISQEIQE`c^bUjPh`@JJ`@@ !B`Bw@h`Bmww~@Ox@bGvH@k\Bb@K~_x`B`Bw_Xa}mpJw@h`B`Bw_[]}mpH	=	1690	nM	IC50	0.34	18.14	3.91		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 23 (6), 1768-1770 (2013)	23411073		5.772113295386325	fhy@`@@\RYee~uYrVoAZA``@H@@@	f`i@@@DjYU[wxjQg^jjjjjj@@	6.0	594	0.84052; 0.91768	2	596; 595	-0.023811666	-0.3746982	0.86279; 5.552	Oc(cc1O)cc(OC(c(cc2O)cc(O)c2O)=C2O)c1C2=O	
ffcAp@@DEiNZyEEEMDihbdiVBMzIViBb@@hh@@@ !B`BwHc|mw~@Ox@bOvH@k\Bb@K~_xc|mww~@Ha}mpJwH`Bmww~@K_|	=	590	nM	IC50	0.39	20.61	4.89		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 23 (6), 1768-1770 (2013)	23411073		6.229147988357855	fhy@`@@\RYee~uYrVoAZA``@H@@@	f`i@@@DjYU[wxjQg^jjjjjj@@	6.0	595	0.8696; 0.89145; 0.91768	3	597; 596; 594	0.015249739	-0.31163996	1.1367; 5.4781; 5.552	Oc(cc1O)cc(OC(c(cc2)cc(O)c2O)=C2O)c1C2=O	
fj}@p@@DEiI\bbbfbTtQRQXHwhyZdJH@BJ@@@ !B`Bw@h`Bmww~@Ox@bGvH@k\Bb@K~_x`B`Bw_Xa}mpJw@h`Bmwvw@`	=	2320	nM	IC50	0.37	19.68	5.26		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 23 (6), 1768-1770 (2013)	23411073		5.6345120151091	fhy@`@@\RYee~uYrVoAZA``@H@@@	f`i@@@DjYU[wxjQg^jjjjjj@@	6.0	596	0.86146; 0.84052; 0.89145	3	598; 594; 595	0.04812933	-0.37857917	1.4734; 0.86279; 5.4781	Oc(cc1)ccc1C(Oc(cc(cc1O)O)c1C1=O)=C1O	
fj}@p@@\eyI\bbbTTVLRVaYqQhyZAbHBBJ@@@ !BhBH@k_|_`BH_Wx@mqH@ozR@Hw@da}hBw_T`BupHwGz@mwtw@	=	830	nM	IC50	0.40	21.24	5.67		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 23 (6), 1768-1770 (2013)	23411073		6.080921907623925	fhy@`@@\RYee~uYrVoAZA``@H@@@	f`i@@@DjYU[wxjQg^jjjjjj@@	6.0	597	0.88914; 0.8696	2	598; 595	0.08855368	-0.31441385	2.1855; 1.1367	Oc(cc1O)cc(OC(c(cc2)cc(O)c2O)=C2)c1C2=O	
fbmAP@@\e{NQQQJJKFIKYgEFbehFH`HB`@@ !Bg~w_Xa}g~w@oybGvw__x@mwvH_[\Bb@K~_{]}bGvH__ybGt	=	1450	nM	IC50	0.40	21.61	6.71		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. Lett. 23 (6), 1768-1770 (2013)	23411073		5.838631997765025	fhy@`@@\RYee~uYrVoAZA``@H@@@	f`i@@@DjYU[wxjQg^jjjjjj@@	6.0	598	0.86146; 0.88914	2	596; 597	0.12090354	-0.38490897	1.4734; 2.1855	Oc(cc1)ccc1C(Oc1c2c(O)cc(O)c1)=CC2=O	
ehR^D@@DLKOHeo`LdfUe_Y][e]e]SSpHZY{yj``Iii`@jjbH@@ !Bk|w_Ta}MpIH@c]}`C~`K\BMpK~@N_lPXAoEQZt}bPSuw_M^P]vw@|bP[~A@|``Suw@|bPW}A`|bPP	=	94	nM	IC50	0.29	15.70	6.67		Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	Bioorg. Med. Chem. 21 (11), 2856-2867 (2013)	23618709		7.026872146400301	fewi@@D\uzXLbbTTRRQRbbRRrkZMT_YmPREEAPTPd@@	fig@@@DjYU_ue^UxjVhizNjjjjjjjjj@@	6.0	612	0.92148; 0.90456; 0.92712	3	540; 610; 611	-0.3134189	-0.12123097	9.4581; 5.1972; 16.396	CCNC(Nc(cc1)ccc1-c1n[nH]c(NC(c(cc2)ccc2N2CCN(C)CC2)=O)c1)=O	
eobQ@@@@LBJCBigldTTRTVbTRRRRzbRXxdtrFJzjZn^@hJhB`B`jj@J@@@ !BR@KW@gz@RGwoY_x@Ms~oyNXYV|_Fda}MwtSjrg{vUMLOygMLINgk|Sc]}k~H_S]}k}~_s_}	=	14	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		7.853871964321761	eobQ@@@@LBJCBigldTTRTVbTRRRRzbRXxdtrFJzjZn^@hJhB`B`jj@J@@@	eobP@@@DjYU_vUnUeUxTdtbrJZv^Nnjjjjjjjjjjjj@@@	6.0	617	0.9073; 0.91007; 0.92348; 0.92074; 0.92348; 0.92074; 0.93148; 0.93148; 0.93686; 0.93148; 0.93148	11	628; 627; 626; 625; 623; 622; 621; 619; 620; 618; 624	0.50248396	-0.16929998	7.2165; 0.93758; 11.043; 10.662; 5.8433; 6.5182; 1.2306; 6.5262; 3.109; 1.5286; 12.334	C(CC1)CC1n1c(nc(Nc(cc2)ncc2N2CCNCC2)nc2)c2c2c1cncc2	
e`ZQ@H@DJMDljeo`ICHheDhlhddeUDeeDdqpHixdEDML}}@PUEAQP@UU@Q@@@ !BkIcMLD@qKAblizpXPCG`FfUoXFWH_Zrg{vVH@d`Bdz_~otc}RGw~ota}Mww~_yMww~oxa}Mww~owyMt	=	11	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		7.958607314841775	eobQ@@@@LBJCBigldTTRTVbTRRRRzbRXxdtrFJzjZn^@hJhB`B`jj@J@@@	eobP@@@DjYU_vUnUeUxTdtbrJZv^Nnjjjjjjjjjjjj@@@	6.0	618	0.93686; 0.97948; 0.97948; 0.97948; 0.93148	5	622; 621; 619; 620; 617	0.42866507	-0.18312827	9.8413; 9.214; 16.689; 14.671; 1.5286	Fc1nccc2c1n(C1CCCC1)c1c2cnc(Nc(cc2)ncc2N2CCNCC2)n1	
e`ZQ@H@DJMDljeo`HcHheDhlhddeUDeeDdqpHixdEDML}}@PUEAQP@UU@Q@@@ !BkIcMLD@qKAblizpXPCG`FfUoXFWH_Zrg{vVH@d`Bdz_~otc}RGw~ota}Mww~oyMww~oxa}Mww~owyMt	=	5	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		8.301029995663981	eobQ@@@@LBJCBigldTTRTVbTRRRRzbRXxdtrFJzjZn^@hJhB`B`jj@J@@@	eobP@@@DjYU_vUnUeUxTdtbrJZv^Nnjjjjjjjjjjjj@@@	6.0	619	0.93686; 0.97948; 0.93148; 0.97948; 0.97948	5	622; 621; 617; 618; 620	0.4077237	-0.25508782	15.265; 25.903; 6.5262; 16.689; 31.36	Clc1nccc2c1n(C1CCCC1)c1c2cnc(Nc(cc2)ncc2N2CCNCC2)n1	
e`ZQ@@@@LBJCBeobbDaHQDaLaDaDQHQDPTaDQcbSSJXhYki{xB`j`J@J`jj@J@@@ !BR@KW@gz@RGwoY_x@Ms~oyNXYV|_Fda}MwtSjrg{vUMLOygMLINgdz_~os}NMww~oxa}Mww~owyMt	=	22	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		7.6575773191777925	eobQ@@@@LBJCBigldTTRTVbTRRRRzbRXxdtrFJzjZn^@hJhB`B`jj@J@@@	eobP@@@DjYU_vUnUeUxTdtbrJZv^Nnjjjjjjjjjjjj@@@	6.0	620	0.95439; 0.98148; 0.93686; 0.97948; 0.97948	5	622; 621; 617; 618; 619	0.35858813	-0.1971295	7.0233; 6.0468; 3.109; 14.671; 31.36	Cc1nccc2c1n(C1CCCC1)c1c2cnc(Nc(cc2)ncc2N2CCNCC2)n1	
e`ZQH@@DJMDljeo`LbbTRbrbRRUTRVTRSG@bgbPTPtswtAATTEE@AUTAD@@@ !BkIcMLD@qKAblizpXPCG`FfUoXFWH_Zrg{vVH@d`Bdz_~otc}RGw~ota}Mww~_yMww~oxa}Mww~owyMt	=	17	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		7.769551078621725	eobQ@@@@LBJCBigldTTRTVbTRRRRzbRXxdtrFJzjZn^@hJhB`B`jj@J@@@	eobP@@@DjYU_vUnUeUxTdtbrJZv^Nnjjjjjjjjjjjj@@@	6.0	621	0.93944; 0.93148; 0.97948; 0.97948; 0.98148	5	622; 617; 618; 619; 620	0.45500067	-0.1156693	7.1381; 1.2306; 9.214; 25.903; 6.0468	Oc1nccc2c1n(C1CCCC1)c1c2cnc(Nc(cc2)ncc2N2CCNCC2)n1	
ehVY@@@@LFCLbfm`\bTRbTVTRRRjbRrbRxDdtBrbRfV~AxBBhhJJ@BjhBH@@ !BkIblfLtpPCDlFJrgkAa@L^@ZYV}`Y\a}kJ_oYX`BR@JSizROuH__zRGtw__yg|w__zbGtw__z_g|wP	=	46	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		7.337242168318426	eobQ@@@@LBJCBigldTTRTVbTRRRRzbRXxdtrFJzjZn^@hJhB`B`jj@J@@@	eobP@@@DjYU_vUnUeUxTdtbrJZv^Nnjjjjjjjjjjjj@@@	6.0	622	0.92074; 0.93686; 0.93686; 0.95439; 0.93944	5	617; 618; 619; 620; 621	0.38157487	-0.12496226	6.5182; 9.8413; 15.265; 7.0233; 7.1381	N#Cc1nccc2c1n(C1CCCC1)c1c2cnc(Nc(cc2)ncc2N2CCNCC2)n1	
ehVQH@@NEHdlfm`PLbbRrbbbRRfNbRrbRhXtL|RbJfV~Ajjj@@@b@Bjj`IBBLP@ !Bfn@`IlmDfaBZxLmDFaC`FiNXrGw~@JpXOtyH@h`BSSCMLGz@RGtSozRGtw__zg|w__zbGtw__z_g|wP	=	5	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		8.301029995663981	e`ZQ@@@@LBJCBeoldTTRTVbTRRRRItRSGDffPqWSTswpEAU@T@TEUT@T@@@	e`ZP@@@DjYU_vUnVUU^EIMHljfcokgjjjjjjjjjjjjh@@	6.0	623	0.89163; 0.93181; 0.91621; 0.92148; 0.98226; 0.96343; 0.92348; 0.95196	8	630; 627; 628; 629; 626; 625; 617; 624	0.6238674	-0.21482018	3.6721; 7.7936; 2.6478; 8.9015; 22.426; 10.88; 5.8433; 8.2837	O[C@H](CC1)CC[C@@H]1n1c2nc(Nc(cc3)ncc3N3CCNCC3)ncc2c2c1cncc2	
e`ZQ@@@@LBJCBeoldTTRTVbTRRRRItRSGDffPqWSTswpEAU@T@TEUT@T@@@ !BR@KW@gz@RGwoY_x@Ms~oyNXYV|_Fda}MwtSeP{gyeMLOygMLJUoi^|Sc]}Wug~oxa}Mww~owyMt	=	2	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		8.698970004336019	e`ZQ@@@@LBJCBeoldTTRTVbTRRRRItRSGDffPqWSTswpEAU@T@TEUT@T@@@	e`ZP@@@DjYU_vUnVUU^EIMHljfcokgjjjjjjjjjjjjh@@	6.0	624	0.93686; 0.93431; 0.95439; 0.95916; 0.93148; 0.95196	6	627; 628; 626; 625; 617; 623	0.48050418	-0.24094927	14.72; 2.6804; 0; 0; 12.334; 8.2837	C(CC1)CCC1n1c(nc(Nc(cc2)ncc2N2CCNCC2)nc2)c2c2c1cncc2	
ehVQ@@@@LBJCBe`\dTTRTVbTRRRRIRfRXxdtrFJzZf~A@hJhB`B`jjh@h@@ !BR@KW@gz@RGwoY_x@Ms~oyNXY^|_Fda}MwtSeR{WyeMLOygMLJWoiQ|Sc]}Wug~ozWobGtw__z_g|wP	=	2	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		8.698970004336019	e`ZQ@@@@LBJCBeoldTTRTVbTRRRRItRSGDffPqWSTswpEAU@T@TEUT@T@@@	e`ZP@@@DjYU_vUnVUU^EIMHljfcokgjjjjjjjjjjjjh@@	6.0	625	0.89699; 0.93686; 0.92408; 0.91885; 0.98226; 0.92074; 0.96343; 0.95916	8	630; 627; 628; 629; 626; 617; 623; 624	0.59887797	-0.2852654	0; 14.72; 2.3196; 3.7097; 0; 10.662; 10.88; 0	CC(CC1)CCC1n1c(nc(Nc(cc2)ncc2N2CCNCC2)nc2)c2c2c1cncc2	
ehVQ@@@@LBJCBe`\dTTRTVbTRRRRIRfRXxdtrFJzZf~A@hJhB`B`jjh@iARSP@ !BR@KW@gz@RGwoY_x@Ms~oyNXiV|_Fda}MwtSeS[gyeMLOzgMLJUoi^|Sc]}Wug~ozWobGtw__z_g|wP	=	2	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		8.698970004336019	e`ZQ@@@@LBJCBeoldTTRTVbTRRRRItRSGDffPqWSTswpEAU@T@TEUT@T@@@	e`ZP@@@DjYU_vUnVUU^EIMHljfcokgjjjjjjjjjjjjh@@	6.0	626	0.92304; 0.93181; 0.92148; 0.95152; 0.92348; 0.98226; 0.95439; 0.98226	8	630; 627; 628; 629; 617; 623; 624; 625	0.5746617	-0.15532334	0; 13.629; 2.2425; 6.2098; 11.043; 22.426; 0; 0	C[C@H](CC1)CC[C@@H]1n1c(nc(Nc(cc2)ncc2N2CCNCC2)nc2)c2c2c1cncc2	
ed^Q@@@@LBJCBeh\dTTRTVbTRRRRITTJSGDffPqWSTpLHEAU@T@TEUUPAP@@ !BR@KW@gz@RGwoY_x@Ms~oyNXYQ|_Fda}MwtSeR{WyeMLOygMLJWoiQ|Sc]}Wug~o{j_uwvH_S]}k}~_s_}	=	17	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		7.769551078621725	e`ZQ@@@@LBJCBeoldTTRTVbTRRRRItRSGDffPqWSTswpEAU@T@TEUT@T@@@	e`ZP@@@DjYU_vUnVUU^EIMHljfcokgjjjjjjjjjjjjh@@	6.0	627	0.91007; 0.93181; 0.93686; 0.93686; 0.93181; 0.96269	6	617; 623; 624; 625; 626; 628	0.5469303	-0.22484595	0.93758; 7.7936; 14.72; 14.72; 13.629; 20.192	CC(C)(CC1)CCC1n1c(nc(Nc(cc2)ncc2N2CCNCC2)nc2)c2c2c1cncc2	
ed^Q@@@@LBJCBch\dTTRTVbTRRRRLalRSGDffPqWSTpLHEAU@T@TEUUPAP@@ !BR@KW@gz@RGwoY_x@Ms~oyNXi^|_Fda}MwtSeR{WyeMLOygMLJWoiQ|Sc]}Wud`~Wzk~H_S]}k}~_s_}	=	3	nM	IC50					Homo sapiens	Tyrosine-protein kinase receptor FLT3	Homo sapiens	Target is a single protein chain	P36888	J. Med. Chem. 57 (8), 3430-3449 (2014)	24641103		8.522878745280337	e`ZQ@@@@LBJCBeoldTTRTVbTRRRRItRSGDffPqWSTswpEAU@T@TEUT@T@@@	e`ZP@@@DjYU_vUnVUU^EIMHljfcokgjjjjjjjjjjjjh@@	6.0	628	0.9073; 0.91621; 0.93431; 0.92408; 0.92148; 0.96269	6	617; 623; 624; 625; 626; 627	0.52738273	-0.2978084	7.2165; 2.6478; 2.6804; 2.3196; 2.2425; 20.192	CC(C)(CCC1)CC1n1c(nc(Nc(cc2)ncc2N2CCNCC2)nc2)c2c2c1cncc2	
